date_time,tempC,HR,pressure,HRsoil,Vsensor
17/05/2024 00:02:00, 10.04, 69.27, 1018.85, 100, 0.861
17/05/2024 00:12:00, 10.07, 70.83, 1019.11, 101, 0.858
17/05/2024 00:22:00, 10.10, 71.32, 1019.04, 101, 0.854
17/05/2024 00:32:00, 10.18, 70.68, 1018.93, 101, 0.856
17/05/2024 00:42:00, 10.20, 69.89, 1019.02, 100, 0.864
17/05/2024 00:52:00, 10.16, 68.17, 1019.06, 101, 0.859
17/05/2024 01:02:00, 10.12, 69.59, 1019.04, 100, 0.863
17/05/2024 01:12:00, 10.15, 68.93, 1018.94, 100, 0.862
17/05/2024 01:22:00, 10.10, 69.47, 1018.79, 100, 0.862
17/05/2024 01:32:00, 9.90, 70.69, 1018.69, 100, 0.862
17/05/2024 01:42:00, 9.89, 70.34, 1018.59, 100, 0.862
17/05/2024 01:52:00, 9.85, 69.80, 1018.74, 100, 0.862
17/05/2024 02:02:00, 9.76, 70.14, 1018.66, 101, 0.857
17/05/2024 02:12:00, 9.62, 70.35, 1018.70, 101, 0.857
17/05/2024 02:22:00, 9.54, 70.98, 1018.70, 100, 0.864
17/05/2024 02:32:00, 9.53, 67.80, 1018.92, 100, 0.862
17/05/2024 02:42:00, 9.40, 67.43, 1019.08, 101, 0.860
17/05/2024 02:52:00, 9.18, 68.30, 1019.11, 101, 0.854
17/05/2024 03:02:00, 8.99, 68.50, 1018.95, 101, 0.855
17/05/2024 03:12:00, 8.77, 68.28, 1018.80, 101, 0.855
17/05/2024 03:22:00, 8.51, 70.48, 1018.67, 101, 0.860
17/05/2024 03:32:00, 8.32, 69.55, 1018.63, 101, 0.854
17/05/2024 03:42:00, 8.12, 70.75, 1018.50, 100, 0.862
17/05/2024 03:52:00, 8.08, 70.98, 1018.20, 101, 0.855
17/05/2024 04:02:00, 7.95, 70.22, 1018.42, 101, 0.854
17/05/2024 04:12:00, 7.86, 70.39, 1018.53, 101, 0.859
17/05/2024 04:22:00, 7.63, 70.17, 1018.45, 101, 0.855
17/05/2024 04:32:00, 7.51, 68.85, 1018.54, 101, 0.857
17/05/2024 04:42:00, 7.53, 68.53, 1018.57, 101, 0.855
17/05/2024 04:52:00, 7.37, 68.30, 1018.59, 101, 0.859
17/05/2024 05:02:00, 7.27, 69.52, 1018.74, 100, 0.863
17/05/2024 05:12:00, 7.28, 69.90, 1018.78, 101, 0.859
17/05/2024 05:22:00, 7.23, 69.62, 1018.88, 101, 0.858
17/05/2024 05:32:00, 6.86, 69.27, 1018.79, 101, 0.858
17/05/2024 05:42:00, 6.71, 70.84, 1018.82, 101, 0.854
17/05/2024 05:52:00, 6.72, 69.50, 1018.92, 101, 0.855
17/05/2024 06:02:00, 6.76, 72.02, 1018.80, 100, 0.862
17/05/2024 06:12:00, 6.85, 72.88, 1018.67, 101, 0.857
17/05/2024 06:22:00, 6.90, 71.94, 1018.67, 101, 0.858
17/05/2024 06:32:00, 6.85, 70.03, 1018.67, 101, 0.857
17/05/2024 06:42:00, 6.63, 70.76, 1018.90, 100, 0.861
17/05/2024 06:52:00, 6.45, 70.76, 1019.12, 101, 0.860
17/05/2024 07:02:00, 6.47, 71.97, 1018.92, 100, 0.862
17/05/2024 07:12:00, 6.70, 72.74, 1019.05, 100, 0.863
17/05/2024 07:22:00, 6.89, 72.31, 1019.25, 100, 0.864
17/05/2024 07:32:00, 7.03, 71.69, 1019.21, 100, 0.861
17/05/2024 07:42:00, 7.16, 71.32, 1019.45, 100, 0.862
17/05/2024 07:52:00, 7.25, 71.05, 1019.49, 100, 0.861
17/05/2024 08:02:00, 7.32, 71.11, 1019.80, 100, 0.863
17/05/2024 08:12:00, 7.49, 70.65, 1019.91, 100, 0.865
17/05/2024 08:22:00, 7.72, 70.97, 1020.05, 100, 0.867
17/05/2024 08:32:00, 8.08, 69.17, 1020.39, 100, 0.865
