date_time,tempC,HR,pressure,HRsoil,Vsensor
20/05/2024 00:02:00, 7.83, 69.59, 1023.71, 101, 0.859
20/05/2024 00:12:00, 7.67, 70.29, 1023.70, 100, 0.866
20/05/2024 00:22:00, 7.60, 70.51, 1023.69, 100, 0.864
20/05/2024 00:32:00, 7.56, 70.75, 1023.67, 100, 0.866
20/05/2024 00:42:00, 7.50, 70.40, 1023.63, 100, 0.865
20/05/2024 00:52:00, 7.45, 70.29, 1023.58, 100, 0.864
20/05/2024 01:02:00, 7.29, 69.84, 1023.61, 101, 0.857
20/05/2024 01:12:00, 7.20, 70.82, 1023.57, 101, 0.857
20/05/2024 01:22:00, 7.15, 70.41, 1023.32, 100, 0.863
20/05/2024 01:32:00, 6.99, 70.34, 1023.28, 101, 0.857
20/05/2024 01:42:00, 6.86, 70.67, 1023.15, 100, 0.862
20/05/2024 01:52:00, 6.77, 71.06, 1023.13, 100, 0.863
20/05/2024 02:02:00, 6.74, 70.78, 1023.03, 101, 0.857
20/05/2024 02:12:00, 6.67, 70.76, 1023.06, 100, 0.862
20/05/2024 02:22:00, 6.54, 70.51, 1023.06, 100, 0.863
20/05/2024 02:32:00, 6.32, 70.45, 1023.10, 101, 0.857
20/05/2024 02:42:00, 6.19, 70.58, 1022.99, 100, 0.863
20/05/2024 02:52:00, 6.20, 71.35, 1022.82, 101, 0.856
20/05/2024 03:02:00, 6.24, 71.58, 1022.79, 101, 0.856
20/05/2024 03:12:00, 6.23, 71.14, 1022.74, 100, 0.862
20/05/2024 03:22:00, 6.18, 71.57, 1022.65, 100, 0.862
20/05/2024 03:32:00, 6.15, 71.57, 1022.55, 101, 0.858
20/05/2024 03:42:00, 6.13, 72.47, 1022.53, 100, 0.862
20/05/2024 03:52:00, 6.09, 71.18, 1022.27, 100, 0.862
20/05/2024 04:02:00, 5.98, 72.08, 1021.89, 101, 0.860
20/05/2024 04:12:00, 5.92, 72.29, 1021.68, 101, 0.857
20/05/2024 04:22:00, 5.93, 72.57, 1021.83, 101, 0.859
20/05/2024 04:32:00, 5.86, 71.87, 1021.82, 101, 0.856
20/05/2024 04:42:00, 5.85, 72.01, 1021.71, 101, 0.856
20/05/2024 04:52:00, 5.83, 71.93, 1021.74, 101, 0.856
20/05/2024 05:02:00, 5.76, 72.86, 1021.73, 100, 0.863
20/05/2024 05:12:00, 5.71, 71.46, 1021.63, 100, 0.862
20/05/2024 05:22:00, 5.60, 71.68, 1021.44, 100, 0.863
20/05/2024 05:32:00, 5.61, 71.89, 1021.17, 101, 0.857
20/05/2024 05:42:00, 5.55, 72.06, 1020.85, 101, 0.859
20/05/2024 05:52:00, 5.53, 72.05, 1020.78, 100, 0.863
20/05/2024 06:02:00, 5.37, 71.35, 1020.64, 101, 0.860
20/05/2024 06:12:00, 5.26, 73.32, 1020.61, 101, 0.859
20/05/2024 06:22:00, 5.20, 71.85, 1020.77, 101, 0.859
20/05/2024 06:32:00, 5.16, 72.74, 1020.77, 100, 0.862
20/05/2024 06:42:00, 5.17, 72.66, 1020.61, 101, 0.858
20/05/2024 06:52:00, 5.14, 72.32, 1020.49, 101, 0.860
20/05/2024 07:02:00, 5.06, 73.08, 1020.47, 100, 0.863
20/05/2024 07:12:00, 4.96, 72.62, 1020.39, 100, 0.862
20/05/2024 07:22:00, 4.84, 72.55, 1020.51, 101, 0.858
20/05/2024 07:32:00, 4.79, 72.62, 1020.72, 101, 0.857
20/05/2024 07:42:00, 4.74, 72.68, 1020.60, 101, 0.858
20/05/2024 07:52:00, 4.72, 72.54, 1020.50, 100, 0.862
20/05/2024 08:02:00, 4.71, 73.32, 1020.65, 100, 0.862
20/05/2024 08:12:00, 4.83, 74.02, 1020.71, 100, 0.864
20/05/2024 08:22:00, 5.22, 75.45, 1020.54, 100, 0.866
20/05/2024 08:32:00, 5.80, 75.08, 1020.65, 100, 0.866
20/05/2024 08:42:00, 6.53, 75.25, 1020.38, 100, 0.869
20/05/2024 08:52:00, 7.25, 74.23, 1020.38, 99, 0.872
20/05/2024 09:02:00, 8.04, 73.48, 1020.43, 99, 0.875
20/05/2024 09:12:00, 9.74, 71.71, 1020.28, 98, 0.878
20/05/2024 09:22:00, 9.77, 71.84, 1020.28, 98, 0.881
20/05/2024 09:32:00, 10.59, 70.18, 1020.02, 98, 0.884
20/05/2024 09:42:00, 11.45, 69.09, 1020.20, 97, 0.887
20/05/2024 09:52:00, 12.20, 67.81, 1020.06, 97, 0.890
20/05/2024 10:02:00, 12.95, 66.00, 1019.91, 97, 0.893
20/05/2024 10:12:00, 13.73, 64.54, 1019.87, 96, 0.896
20/05/2024 10:22:00, 14.55, 64.18, 1019.90, 96, 0.899
20/05/2024 10:32:00, 15.38, 63.10, 1019.57, 96, 0.902
20/05/2024 10:42:00, 16.16, 60.12, 1019.35, 95, 0.905
20/05/2024 10:52:00, 16.91, 59.66, 1019.14, 95, 0.908
