date_time,tempC,HR,pressure,HRsoil,Vsensor
30/05/2024 00:02:00, 8.40, 75.71, 1022.38, 87, 0.978
30/05/2024 00:12:00, 8.30, 75.60, 1022.47, 87, 0.981
30/05/2024 00:22:00, 8.27, 76.13, 1022.60, 87, 0.974
30/05/2024 00:32:00, 8.17, 76.06, 1022.71, 87, 0.974
30/05/2024 00:42:00, 8.12, 76.32, 1022.78, 87, 0.978
30/05/2024 00:52:00, 8.09, 76.67, 1022.75, 87, 0.980
30/05/2024 01:02:00, 8.03, 76.09, 1022.87, 87, 0.978
30/05/2024 01:12:00, 7.92, 75.49, 1022.85, 87, 0.978
30/05/2024 01:22:00, 7.80, 75.49, 1023.00, 87, 0.981
30/05/2024 01:32:00, 7.65, 74.80, 1023.33, 87, 0.978
30/05/2024 01:42:00, 7.45, 75.57, 1023.31, 87, 0.974
30/05/2024 01:52:00, 7.40, 76.40, 1023.15, 87, 0.977
30/05/2024 02:02:00, 7.40, 76.12, 1023.25, 87, 0.980
30/05/2024 02:12:00, 7.35, 76.03, 1023.17, 87, 0.979
30/05/2024 02:22:00, 7.24, 76.04, 1023.13, 87, 0.978
30/05/2024 02:32:00, 7.08, 76.42, 1022.82, 87, 0.981
30/05/2024 02:42:00, 7.20, 78.44, 1022.71, 86, 0.982
30/05/2024 02:52:00, 7.34, 77.50, 1022.59, 87, 0.979
30/05/2024 03:02:00, 7.31, 76.74, 1022.74, 86, 0.982
30/05/2024 03:12:00, 7.26, 76.08, 1022.64, 87, 0.975
30/05/2024 03:22:00, 7.14, 76.42, 1022.46, 87, 0.978
30/05/2024 03:32:00, 7.09, 76.85, 1022.33, 87, 0.981
30/05/2024 03:42:00, 7.05, 76.17, 1022.39, 87, 0.975
30/05/2024 03:52:00, 6.94, 76.12, 1022.35, 87, 0.980
30/05/2024 04:02:00, 6.92, 76.39, 1022.20, 87, 0.981
30/05/2024 04:12:00, 6.88, 76.27, 1022.29, 87, 0.974
30/05/2024 04:22:00, 6.76, 75.76, 1022.26, 87, 0.978
30/05/2024 04:32:00, 6.63, 76.03, 1022.39, 87, 0.979
30/05/2024 04:42:00, 6.58, 76.64, 1022.37, 87, 0.977
30/05/2024 04:52:00, 6.56, 76.46, 1022.40, 87, 0.980
30/05/2024 05:02:00, 6.54, 76.60, 1022.63, 87, 0.978
30/05/2024 05:12:00, 6.47, 76.29, 1022.75, 87, 0.974
30/05/2024 05:22:00, 6.45, 76.31, 1022.70, 87, 0.977
30/05/2024 05:32:00, 6.41, 76.08, 1022.61, 87, 0.980
30/05/2024 05:42:00, 6.29, 75.88, 1022.57, 87, 0.977
30/05/2024 05:52:00, 6.17, 75.87, 1022.57, 87, 0.975
30/05/2024 06:02:00, 6.03, 75.54, 1022.64, 87, 0.981
30/05/2024 06:12:00, 5.99, 76.42, 1022.89, 87, 0.974
30/05/2024 06:22:00, 5.98, 76.74, 1022.79, 87, 0.980
30/05/2024 06:32:00, 6.04, 76.76, 1022.65, 87, 0.977
30/05/2024 06:42:00, 6.02, 75.99, 1022.72, 87, 0.980
30/05/2024 06:52:00, 5.87, 76.06, 1022.60, 87, 0.974
30/05/2024 07:02:00, 5.85, 76.48, 1022.64, 87, 0.981
30/05/2024 07:12:00, 5.88, 76.48, 1023.09, 87, 0.978
30/05/2024 07:22:00, 5.90, 76.27, 1023.42, 87, 0.980
30/05/2024 07:32:00, 5.92, 76.50, 1023.51, 87, 0.979
30/05/2024 07:42:00, 5.96, 76.54, 1023.52, 87, 0.979
30/05/2024 07:52:00, 6.05, 76.77, 1023.74, 87, 0.976
30/05/2024 08:02:00, 6.01, 76.14, 1023.75, 87, 0.979
30/05/2024 08:12:00, 5.97, 76.34, 1023.87, 87, 0.979
30/05/2024 08:22:00, 6.06, 76.48, 1024.08, 87, 0.978
30/05/2024 08:32:00, 6.22, 76.79, 1024.07, 87, 0.974
30/05/2024 08:42:00, 6.50, 76.33, 1024.10, 87, 0.974
30/05/2024 08:52:00, 6.79, 75.86, 1024.12, 87, 0.978
30/05/2024 09:02:00, 7.25, 75.80, 1024.13, 86, 0.982
30/05/2024 09:12:00, 7.82, 75.52, 1024.28, 86, 0.982
30/05/2024 09:22:00, 8.57, 75.75, 1024.23, 87, 0.976
30/05/2024 09:32:00, 9.42, 75.56, 1024.35, 86, 0.982
