date_time,tempC,HR,pressure,HRsoil,Vsensor
15/05/2024 00:02:00, 5.66, 69.95, 1025.77, 99, 0.870
15/05/2024 00:12:00, 5.52, 71.43, 1025.81, 100, 0.867
15/05/2024 00:22:00, 5.31, 70.94, 1025.68, 100, 0.867
15/05/2024 00:32:00, 5.27, 72.85, 1025.59, 100, 0.865
15/05/2024 00:42:00, 5.32, 71.89, 1025.67, 99, 0.870
15/05/2024 00:52:00, 5.13, 72.19, 1025.55, 100, 0.866
15/05/2024 01:02:00, 5.17, 71.97, 1025.65, 100, 0.863
15/05/2024 01:12:00, 5.13, 72.29, 1025.60, 100, 0.866
15/05/2024 01:22:00, 4.96, 71.01, 1025.31, 100, 0.865
15/05/2024 01:32:00, 4.92, 72.32, 1025.06, 99, 0.870
15/05/2024 01:42:00, 4.92, 72.63, 1024.91, 100, 0.865
15/05/2024 01:52:00, 4.90, 72.22, 1024.86, 100, 0.869
15/05/2024 02:02:00, 4.79, 71.49, 1024.72, 100, 0.864
15/05/2024 02:12:00, 4.60, 71.40, 1024.75, 100, 0.867
15/05/2024 02:22:00, 4.63, 73.88, 1024.60, 100, 0.867
15/05/2024 02:32:00, 4.78, 73.13, 1024.46, 99, 0.870
15/05/2024 02:42:00, 4.52, 71.92, 1024.43, 99, 0.874
15/05/2024 02:52:00, 4.43, 72.84, 1024.36, 99, 0.875
15/05/2024 03:02:00, 4.51, 72.44, 1024.23, 100, 0.869
15/05/2024 03:12:00, 4.55, 73.33, 1024.01, 99, 0.870
15/05/2024 03:22:00, 4.40, 71.78, 1023.85, 99, 0.873
15/05/2024 03:32:00, 4.44, 72.55, 1023.69, 99, 0.870
15/05/2024 03:42:00, 4.56, 72.87, 1023.54, 99, 0.876
15/05/2024 03:52:00, 4.56, 72.26, 1023.42, 99, 0.871
15/05/2024 04:02:00, 4.66, 73.20, 1023.32, 98, 0.878
15/05/2024 04:12:00, 4.87, 73.75, 1023.27, 99, 0.870
15/05/2024 04:22:00, 4.97, 72.64, 1023.07, 99, 0.875
15/05/2024 04:32:00, 4.95, 72.51, 1023.12, 99, 0.875
15/05/2024 04:42:00, 5.03, 73.47, 1022.99, 99, 0.874
15/05/2024 04:52:00, 5.08, 71.79, 1022.78, 99, 0.874
15/05/2024 05:02:00, 4.78, 72.15, 1022.80, 99, 0.876
15/05/2024 05:12:00, 4.63, 72.45, 1022.77, 99, 0.877
15/05/2024 05:22:00, 4.55, 72.44, 1022.75, 99, 0.876
15/05/2024 05:32:00, 4.59, 72.33, 1022.72, 99, 0.877
15/05/2024 05:42:00, 4.32, 72.40, 1022.49, 99, 0.870
15/05/2024 05:52:00, 4.22, 72.52, 1022.59, 98, 0.878
15/05/2024 06:02:00, 4.23, 74.08, 1022.38, 99, 0.875
15/05/2024 06:12:00, 4.13, 73.23, 1022.42, 99, 0.870
15/05/2024 06:22:00, 4.02, 73.22, 1022.37, 99, 0.876
15/05/2024 06:32:00, 3.97, 73.16, 1022.41, 99, 0.876
15/05/2024 06:42:00, 4.10, 73.41, 1022.51, 98, 0.878
15/05/2024 06:52:00, 4.37, 74.67, 1022.53, 99, 0.877
15/05/2024 07:02:00, 4.61, 73.96, 1022.65, 99, 0.874
15/05/2024 07:12:00, 4.73, 72.69, 1022.79, 98, 0.878
15/05/2024 07:22:00, 4.82, 73.46, 1022.81, 98, 0.878
15/05/2024 07:32:00, 4.84, 73.59, 1022.89, 98, 0.882
15/05/2024 07:42:00, 4.96, 73.49, 1022.97, 98, 0.882
15/05/2024 07:52:00, 4.98, 72.91, 1023.19, 98, 0.880
15/05/2024 08:02:00, 5.04, 73.45, 1023.25, 98, 0.879
15/05/2024 08:12:00, 5.24, 73.50, 1023.30, 98, 0.885
15/05/2024 08:22:00, 5.52, 72.52, 1023.40, 98, 0.886
15/05/2024 08:32:00, 6.03, 72.40, 1023.43, 97, 0.890
15/05/2024 08:42:00, 6.67, 72.03, 1023.30, 97, 0.895
15/05/2024 08:52:00, 7.44, 71.65, 1023.31, 96, 0.896
15/05/2024 09:02:00, 8.15, 70.06, 1023.31, 96, 0.902
15/05/2024 09:12:00, 8.98, 69.27, 1023.35, 95, 0.904
15/05/2024 09:22:00, 9.92, 68.07, 1023.36, 95, 0.906
15/05/2024 09:32:00, 10.88, 67.62, 1023.22, 95, 0.907
15/05/2024 09:42:00, 11.80, 66.14, 1023.06, 95, 0.908
15/05/2024 09:52:00, 12.71, 65.59, 1023.09, 94, 0.916
15/05/2024 10:02:00, 13.68, 63.84, 1023.27, 94, 0.918
15/05/2024 10:12:00, 14.49, 61.79, 1023.08, 94, 0.915
15/05/2024 10:22:00, 15.29, 62.00, 1023.08, 94, 0.918
15/05/2024 10:32:00, 15.95, 59.25, 1023.08, 93, 0.925
15/05/2024 10:42:00, 16.64, 58.42, 1023.09, 93, 0.924
15/05/2024 10:52:00, 17.42, 55.51, 1023.04, 93, 0.922
15/05/2024 11:02:00, 18.12, 55.83, 1022.95, 93, 0.926
15/05/2024 11:12:00, 19.00, 53.85, 1023.07, 93, 0.929
15/05/2024 11:22:00, 19.89, 50.04, 1023.03, 100, 0.862
15/05/2024 11:32:00, 19.66, 51.88, 1023.03, 101, 0.853
15/05/2024 11:42:00, 19.65, 50.84, 1022.69, 101, 0.854
15/05/2024 11:52:00, 19.70, 49.36, 1022.68, 100, 0.863
15/05/2024 12:02:00, 19.82, 46.61, 1022.66, 99, 0.871
15/05/2024 12:12:00, 20.00, 43.04, 1022.62, 99, 0.873
15/05/2024 12:22:00, 20.24, 43.25, 1022.56, 99, 0.874
15/05/2024 12:32:00, 20.52, 41.41, 1022.50, 99, 0.877
15/05/2024 12:42:00, 20.80, 41.06, 1022.42, 98, 0.879
15/05/2024 12:52:00, 21.07, 38.74, 1022.35, 98, 0.886
15/05/2024 13:02:00, 21.34, 38.91, 1022.26, 98, 0.882
15/05/2024 13:12:00, 21.63, 38.70, 1022.18, 97, 0.892
15/05/2024 13:22:00, 21.94, 38.59, 1022.08, 97, 0.895
15/05/2024 13:32:00, 22.23, 34.96, 1021.96, 97, 0.888
15/05/2024 13:42:00, 22.49, 40.74, 1021.84, 97, 0.891
15/05/2024 13:52:00, 22.72, 38.67, 1021.73, 96, 0.898
15/05/2024 14:02:00, 22.93, 35.52, 1021.61, 98, 0.880
15/05/2024 14:12:00, 23.17, 30.46, 1021.48, 99, 0.874
15/05/2024 14:22:00, 23.31, 32.81, 1021.35, 98, 0.879
15/05/2024 14:32:00, 23.48, 32.46, 1021.21, 98, 0.878
15/05/2024 14:42:00, 23.67, 37.27, 1021.07, 98, 0.878
15/05/2024 14:52:00, 23.86, 32.96, 1020.92, 98, 0.882
15/05/2024 15:02:00, 24.08, 33.68, 1020.76, 97, 0.890
15/05/2024 15:12:00, 24.29, 31.93, 1020.59, 98, 0.882
15/05/2024 15:22:00, 24.49, 32.97, 1020.44, 98, 0.885
15/05/2024 15:32:00, 24.66, 35.42, 1020.28, 97, 0.890
15/05/2024 15:42:00, 24.81, 37.72, 1020.13, 98, 0.886
15/05/2024 15:52:00, 24.94, 34.85, 1019.99, 97, 0.888
15/05/2024 16:02:00, 24.99, 32.87, 1019.85, 97, 0.889
15/05/2024 16:12:00, 24.97, 35.67, 1019.71, 97, 0.894
15/05/2024 16:22:00, 24.94, 33.28, 1019.57, 96, 0.900
15/05/2024 16:32:00, 24.84, 35.08, 1019.42, 96, 0.901
15/05/2024 16:42:00, 24.67, 41.11, 1019.28, 96, 0.900
15/05/2024 16:52:00, 24.44, 41.69, 1019.16, 96, 0.897
15/05/2024 17:02:00, 24.15, 39.35, 1019.04, 97, 0.895
15/05/2024 17:12:00, 18.98, 43.03, 1017.09, 97, 0.893
15/05/2024 17:22:00, 18.31, 46.09, 1017.11, 96, 0.900
15/05/2024 17:32:00, 17.27, 44.28, 1017.09, 97, 0.894
15/05/2024 17:42:00, 16.25, 46.72, 1017.02, 96, 0.898
15/05/2024 17:52:00, 15.45, 48.39, 1016.76, 96, 0.899
15/05/2024 18:02:00, 14.96, 49.04, 1016.57, 97, 0.894
15/05/2024 18:12:00, 14.55, 51.28, 1016.41, 97, 0.895
15/05/2024 18:22:00, 14.17, 51.54, 1016.44, 96, 0.898
15/05/2024 18:32:00, 13.81, 53.09, 1016.54, 97, 0.891
15/05/2024 18:42:00, 13.55, 54.37, 1016.50, 97, 0.891
15/05/2024 18:52:00, 13.17, 53.64, 1016.33, 97, 0.891
15/05/2024 19:02:00, 12.84, 54.53, 1016.41, 97, 0.891
15/05/2024 19:12:00, 12.53, 56.40, 1016.29, 97, 0.894
15/05/2024 19:22:00, 12.28, 57.30, 1016.51, 97, 0.892
15/05/2024 19:32:00, 12.13, 57.24, 1016.36, 96, 0.899
15/05/2024 19:42:00, 11.96, 57.71, 1016.50, 96, 0.897
15/05/2024 19:52:00, 11.86, 57.84, 1016.38, 97, 0.893
15/05/2024 20:02:00, 11.75, 58.45, 1016.54, 96, 0.896
15/05/2024 20:12:00, 11.60, 59.88, 1016.71, 96, 0.898
15/05/2024 20:22:00, 11.43, 59.73, 1016.64, 97, 0.891
15/05/2024 20:32:00, 11.20, 60.40, 1016.74, 97, 0.894
15/05/2024 20:42:00, 10.94, 61.59, 1016.88, 97, 0.893
15/05/2024 20:52:00, 10.74, 64.71, 1016.96, 97, 0.893
15/05/2024 21:02:00, 10.64, 64.73, 1016.95, 97, 0.892
15/05/2024 21:12:00, 10.51, 65.60, 1016.99, 97, 0.890
