date_time,tempC,HR,pressure,HRsoil,Vsensor
24/05/2024 00:02:00, 10.88, 78.39, 1023.84, 102, 0.849
24/05/2024 00:12:00, 10.86, 77.33, 1023.76, 102, 0.850
24/05/2024 00:22:00, 10.85, 77.68, 1023.92, 102, 0.849
24/05/2024 00:32:00, 10.81, 77.77, 1024.15, 103, 0.842
24/05/2024 00:42:00, 10.73, 77.30, 1024.29, 102, 0.850
24/05/2024 00:52:00, 10.67, 77.70, 1024.36, 103, 0.842
24/05/2024 01:02:00, 10.66, 78.31, 1024.32, 103, 0.841
24/05/2024 01:12:00, 10.60, 78.01, 1024.51, 103, 0.842
24/05/2024 01:22:00, 10.56, 77.51, 1024.60, 103, 0.842
24/05/2024 01:32:00, 10.51, 77.08, 1024.62, 103, 0.843
24/05/2024 01:42:00, 10.48, 77.18, 1024.78, 102, 0.849
24/05/2024 01:52:00, 10.43, 76.83, 1024.89, 102, 0.849
24/05/2024 02:02:00, 10.39, 77.14, 1024.97, 102, 0.849
24/05/2024 02:12:00, 10.37, 75.71, 1025.01, 102, 0.850
24/05/2024 02:22:00, 10.36, 74.90, 1025.08, 102, 0.848
24/05/2024 02:32:00, 10.30, 74.30, 1025.24, 102, 0.849
24/05/2024 02:42:00, 10.23, 74.76, 1025.38, 102, 0.849
24/05/2024 02:52:00, 10.17, 75.11, 1025.55, 102, 0.846
24/05/2024 03:02:00, 10.03, 75.25, 1025.52, 102, 0.851
24/05/2024 03:12:00, 9.90, 75.55, 1025.65, 102, 0.851
24/05/2024 03:22:00, 9.86, 76.47, 1025.71, 102, 0.849
24/05/2024 03:32:00, 9.84, 76.79, 1025.83, 103, 0.843
24/05/2024 03:42:00, 9.86, 77.17, 1025.86, 102, 0.851
24/05/2024 03:52:00, 9.92, 77.76, 1025.90, 102, 0.845
24/05/2024 04:02:00, 10.00, 77.92, 1025.92, 101, 0.853
24/05/2024 04:12:00, 10.02, 77.99, 1026.14, 102, 0.852
24/05/2024 04:22:00, 9.99, 78.76, 1026.30, 102, 0.850
24/05/2024 04:32:00, 9.92, 78.34, 1026.21, 102, 0.845
24/05/2024 04:42:00, 9.85, 78.09, 1026.22, 102, 0.851
24/05/2024 04:52:00, 9.80, 78.11, 1026.25, 102, 0.845
24/05/2024 05:02:00, 9.73, 77.99, 1026.26, 102, 0.852
24/05/2024 05:12:00, 9.67, 78.08, 1026.29, 102, 0.845
24/05/2024 05:22:00, 9.65, 78.82, 1026.35, 102, 0.845
24/05/2024 05:32:00, 9.58, 78.58, 1026.21, 102, 0.845
24/05/2024 05:42:00, 9.41, 78.74, 1026.53, 102, 0.849
24/05/2024 05:52:00, 9.35, 79.20, 1026.50, 102, 0.850
24/05/2024 06:02:00, 9.41, 79.69, 1026.50, 102, 0.850
24/05/2024 06:12:00, 9.36, 78.96, 1026.60, 102, 0.852
24/05/2024 06:22:00, 9.34, 79.85, 1026.45, 102, 0.852
24/05/2024 06:32:00, 9.37, 79.81, 1026.40, 101, 0.853
24/05/2024 06:42:00, 9.40, 80.04, 1026.40, 101, 0.853
24/05/2024 06:52:00, 9.41, 79.88, 1026.50, 102, 0.849
24/05/2024 07:02:00, 9.27, 79.77, 1026.69, 102, 0.849
24/05/2024 07:12:00, 9.05, 79.22, 1026.94, 102, 0.849
24/05/2024 07:22:00, 8.90, 79.96, 1027.17, 102, 0.852
24/05/2024 07:32:00, 9.00, 80.67, 1027.31, 102, 0.851
24/05/2024 07:42:00, 9.16, 80.73, 1027.47, 102, 0.845
24/05/2024 07:52:00, 9.29, 80.60, 1027.82, 101, 0.853
24/05/2024 08:02:00, 9.38, 80.67, 1028.08, 101, 0.853
24/05/2024 08:12:00, 9.45, 80.13, 1028.37, 102, 0.850
24/05/2024 08:22:00, 9.54, 79.94, 1028.27, 102, 0.845
24/05/2024 08:32:00, 9.68, 79.03, 1028.17, 101, 0.853
24/05/2024 08:42:00, 9.79, 79.20, 1028.18, 101, 0.853
