date_time,tempC,HR,pressure,HRsoil,Vsensor
29/05/2024 00:02:00, 7.27, 74.73, 1026.30, 105, 0.826
29/05/2024 00:12:00, 7.27, 74.63, 1026.20, 104, 0.828
29/05/2024 00:22:00, 7.23, 74.58, 1026.20, 104, 0.828
29/05/2024 00:32:00, 7.17, 74.57, 1026.39, 104, 0.828
29/05/2024 00:42:00, 6.98, 74.16, 1026.39, 104, 0.828
29/05/2024 00:52:00, 6.83, 73.88, 1026.35, 104, 0.828
29/05/2024 01:02:00, 6.67, 74.56, 1026.34, 104, 0.827
29/05/2024 01:12:00, 6.62, 74.54, 1026.28, 104, 0.828
29/05/2024 01:22:00, 6.59, 74.52, 1026.23, 104, 0.828
29/05/2024 01:32:00, 6.57, 74.92, 1026.09, 105, 0.824
29/05/2024 01:42:00, 6.54, 74.70, 1025.99, 105, 0.826
29/05/2024 01:52:00, 6.45, 74.84, 1025.93, 104, 0.828
29/05/2024 02:02:00, 6.37, 74.33, 1025.83, 105, 0.824
29/05/2024 02:12:00, 6.26, 74.71, 1025.67, 104, 0.827
29/05/2024 02:22:00, 6.29, 75.13, 1025.70, 105, 0.826
29/05/2024 02:32:00, 6.27, 75.21, 1025.49, 104, 0.827
29/05/2024 02:42:00, 6.21, 74.66, 1025.40, 105, 0.824
29/05/2024 02:52:00, 6.13, 75.01, 1025.31, 104, 0.828
29/05/2024 03:02:00, 6.05, 75.14, 1025.05, 105, 0.822
29/05/2024 03:12:00, 5.99, 74.92, 1024.83, 105, 0.823
29/05/2024 03:22:00, 5.89, 74.63, 1024.66, 104, 0.827
29/05/2024 03:32:00, 5.85, 75.81, 1024.63, 104, 0.828
29/05/2024 03:42:00, 5.90, 75.77, 1024.55, 105, 0.824
29/05/2024 03:52:00, 5.89, 75.86, 1024.48, 104, 0.828
29/05/2024 04:02:00, 5.84, 75.53, 1024.65, 104, 0.827
29/05/2024 04:12:00, 5.78, 75.76, 1024.59, 105, 0.823
29/05/2024 04:22:00, 5.80, 75.86, 1024.38, 104, 0.827
29/05/2024 04:32:00, 5.79, 75.59, 1024.31, 104, 0.827
29/05/2024 04:42:00, 5.78, 76.02, 1024.38, 104, 0.827
29/05/2024 04:52:00, 5.73, 75.87, 1024.26, 104, 0.827
29/05/2024 05:02:00, 5.71, 75.88, 1024.13, 105, 0.823
29/05/2024 05:12:00, 5.71, 75.89, 1024.19, 105, 0.822
29/05/2024 05:22:00, 5.68, 76.94, 1024.36, 105, 0.824
29/05/2024 05:32:00, 5.80, 77.32, 1024.23, 104, 0.827
29/05/2024 05:42:00, 6.00, 77.43, 1024.00, 105, 0.824
29/05/2024 05:52:00, 6.20, 77.78, 1023.99, 104, 0.828
29/05/2024 06:02:00, 6.35, 77.87, 1024.00, 104, 0.829
29/05/2024 06:12:00, 6.50, 77.98, 1023.88, 104, 0.827
29/05/2024 06:22:00, 6.62, 78.30, 1024.01, 105, 0.825
29/05/2024 06:32:00, 6.75, 78.17, 1024.23, 104, 0.829
29/05/2024 06:42:00, 6.90, 78.21, 1024.21, 104, 0.828
29/05/2024 06:52:00, 7.01, 77.77, 1024.35, 105, 0.825
29/05/2024 07:02:00, 7.06, 78.03, 1024.51, 105, 0.826
29/05/2024 07:12:00, 7.11, 78.56, 1024.59, 104, 0.828
29/05/2024 07:22:00, 7.12, 77.60, 1024.70, 104, 0.827
29/05/2024 07:32:00, 7.02, 77.87, 1024.52, 104, 0.829
29/05/2024 07:42:00, 7.11, 78.23, 1024.52, 105, 0.826
29/05/2024 07:52:00, 7.19, 78.33, 1024.61, 104, 0.830
29/05/2024 08:02:00, 7.29, 78.20, 1024.61, 104, 0.830
29/05/2024 08:12:00, 7.38, 78.34, 1024.65, 104, 0.830
29/05/2024 08:22:00, 7.43, 78.23, 1024.58, 104, 0.829
29/05/2024 08:32:00, 7.56, 78.37, 1024.55, 104, 0.827
29/05/2024 08:42:00, 7.72, 78.08, 1024.53, 104, 0.831
29/05/2024 08:52:00, 7.82, 77.15, 1024.82, 104, 0.832
29/05/2024 09:02:00, 8.09, 76.98, 1024.75, 104, 0.828
29/05/2024 09:12:00, 8.40, 76.07, 1024.95, 103, 0.837
29/05/2024 09:22:00, 9.24, 76.28, 1024.73, 104, 0.833
29/05/2024 09:32:00, 10.35, 74.86, 1024.81, 103, 0.842
29/05/2024 09:42:00, 11.41, 72.65, 1024.72, 103, 0.839
29/05/2024 09:52:00, 12.22, 71.33, 1024.97, 102, 0.845
29/05/2024 10:02:00, 12.84, 69.71, 1024.95, 103, 0.843
29/05/2024 10:12:00, 13.42, 68.90, 1025.18, 102, 0.850
29/05/2024 10:22:00, 13.82, 68.28, 1025.23, 101, 0.853
29/05/2024 10:32:00, 14.59, 66.75, 1025.25, 101, 0.853
29/05/2024 10:42:00, 14.99, 66.66, 1025.21, 101, 0.853
29/05/2024 10:52:00, 15.78, 65.63, 1025.27, 101, 0.857
29/05/2024 11:02:00, 16.74, 61.99, 1025.26, 100, 0.862
29/05/2024 11:12:00, 17.05, 60.20, 1025.19, 101, 0.854
29/05/2024 11:22:00, 17.37, 61.11, 1025.28, 100, 0.862
29/05/2024 11:32:00, 17.89, 59.05, 1025.11, 100, 0.867
29/05/2024 11:42:00, 18.15, 59.41, 1025.17, 100, 0.866
29/05/2024 11:52:00, 18.95, 57.83, 1025.08, 100, 0.864
29/05/2024 12:02:00, 19.21, 57.11, 1025.00, 100, 0.868
29/05/2024 12:12:00, 19.88, 55.18, 1024.91, 98, 0.878
29/05/2024 12:22:00, 20.70, 53.10, 1024.64, 98, 0.880
29/05/2024 12:32:00, 20.75, 51.79, 1024.62, 99, 0.874
29/05/2024 12:42:00, 20.78, 52.68, 1024.58, 98, 0.878
29/05/2024 12:52:00, 20.84, 52.15, 1024.54, 98, 0.883
