date_time,tempC,HR,pressure,HRsoil,Vsensor
06/05/2024 00:02:00, 18.15, 81.51, 1009.69, 97, 0.887
06/05/2024 00:12:00, 18.13, 81.84, 1009.55, 98, 0.885
06/05/2024 00:22:00, 18.10, 81.81, 1009.53, 98, 0.884
06/05/2024 00:32:00, 18.07, 82.22, 1009.69, 97, 0.894
06/05/2024 00:42:00, 18.05, 82.67, 1009.55, 98, 0.884
06/05/2024 00:52:00, 18.01, 83.06, 1009.61, 97, 0.888
06/05/2024 01:02:00, 17.99, 83.54, 1009.36, 98, 0.883
06/05/2024 01:12:00, 18.02, 83.88, 1009.22, 98, 0.883
06/05/2024 01:22:00, 18.05, 83.90, 1008.98, 96, 0.896
06/05/2024 01:32:00, 18.06, 83.47, 1008.78, 97, 0.890
06/05/2024 01:42:00, 17.99, 83.52, 1008.63, 97, 0.895
06/05/2024 01:52:00, 17.98, 84.40, 1008.56, 96, 0.896
06/05/2024 02:02:00, 18.05, 84.14, 1008.16, 97, 0.888
06/05/2024 02:12:00, 18.05, 83.96, 1007.97, 97, 0.891
06/05/2024 02:22:00, 18.00, 83.87, 1007.67, 97, 0.892
06/05/2024 02:32:00, 18.01, 84.09, 1007.58, 97, 0.889
06/05/2024 02:42:00, 17.97, 83.77, 1007.21, 96, 0.898
06/05/2024 02:52:00, 17.91, 84.04, 1007.20, 97, 0.891
06/05/2024 03:02:00, 17.91, 84.54, 1007.19, 97, 0.888
06/05/2024 03:12:00, 17.97, 84.50, 1006.97, 96, 0.898
06/05/2024 03:22:00, 18.00, 84.55, 1006.99, 97, 0.895
06/05/2024 03:32:00, 18.03, 84.50, 1006.86, 97, 0.888
06/05/2024 03:42:00, 18.07, 84.46, 1006.72, 97, 0.891
06/05/2024 03:52:00, 18.09, 84.22, 1006.69, 97, 0.892
06/05/2024 04:02:00, 18.09, 84.24, 1006.64, 97, 0.889
06/05/2024 04:12:00, 18.07, 84.19, 1006.56, 97, 0.888
06/05/2024 04:22:00, 18.07, 84.34, 1006.65, 96, 0.901
06/05/2024 04:32:00, 18.06, 84.34, 1006.59, 96, 0.897
06/05/2024 04:42:00, 18.05, 84.27, 1006.43, 96, 0.898
06/05/2024 04:52:00, 18.04, 84.44, 1006.37, 96, 0.901
06/05/2024 05:02:00, 18.06, 84.34, 1006.26, 96, 0.901
06/05/2024 05:12:00, 18.06, 84.33, 1006.26, 96, 0.903
06/05/2024 05:22:00, 18.03, 84.03, 1006.21, 97, 0.892
06/05/2024 05:32:00, 17.96, 83.88, 1006.30, 97, 0.893
06/05/2024 05:42:00, 17.92, 84.33, 1006.30, 97, 0.894
06/05/2024 05:52:00, 17.88, 84.17, 1006.42, 97, 0.895
06/05/2024 06:02:00, 17.87, 84.41, 1006.32, 96, 0.903
06/05/2024 06:12:00, 17.86, 84.28, 1006.14, 96, 0.897
06/05/2024 06:22:00, 17.80, 84.75, 1006.20, 97, 0.895
06/05/2024 06:32:00, 17.82, 84.65, 1006.44, 96, 0.899
06/05/2024 06:42:00, 17.80, 84.75, 1006.39, 96, 0.902
06/05/2024 06:52:00, 17.81, 84.86, 1006.46, 95, 0.904
06/05/2024 07:02:00, 17.82, 84.69, 1006.44, 97, 0.895
06/05/2024 07:12:00, 17.80, 84.67, 1006.30, 96, 0.903
06/05/2024 07:22:00, 17.80, 84.68, 1006.28, 97, 0.895
06/05/2024 07:32:00, 17.79, 84.64, 1006.45, 96, 0.899
06/05/2024 07:42:00, 17.73, 84.22, 1006.48, 97, 0.895
06/05/2024 07:52:00, 17.75, 84.63, 1006.65, 96, 0.903
06/05/2024 08:02:00, 17.77, 84.63, 1006.53, 96, 0.901
06/05/2024 08:12:00, 17.77, 84.36, 1006.79, 97, 0.895
06/05/2024 08:22:00, 17.76, 84.50, 1006.92, 95, 0.905
06/05/2024 08:32:00, 17.79, 84.79, 1006.94, 96, 0.899
06/05/2024 08:42:00, 17.81, 84.70, 1007.08, 95, 0.904
06/05/2024 08:52:00, 17.84, 83.91, 1007.02, 95, 0.904
06/05/2024 09:02:00, 17.85, 83.96, 1007.13, 95, 0.905
06/05/2024 09:12:00, 17.95, 83.94, 1007.13, 95, 0.905
06/05/2024 09:22:00, 17.96, 83.78, 1007.14, 95, 0.905
06/05/2024 09:32:00, 18.11, 83.40, 1007.48, 96, 0.898
06/05/2024 09:42:00, 18.10, 83.37, 1007.60, 95, 0.904
06/05/2024 09:52:00, 18.18, 83.29, 1007.62, 96, 0.899
06/05/2024 10:02:00, 18.31, 82.93, 1007.81, 95, 0.907
06/05/2024 10:12:00, 18.29, 82.87, 1007.91, 96, 0.903
06/05/2024 10:22:00, 18.29, 82.78, 1008.02, 95, 0.905
06/05/2024 10:32:00, 18.31, 82.68, 1008.12, 96, 0.899
06/05/2024 10:42:00, 18.44, 82.80, 1008.29, 96, 0.903
06/05/2024 10:52:00, 18.62, 82.21, 1008.52, 95, 0.909
06/05/2024 11:02:00, 18.63, 81.63, 1008.51, 95, 0.906
06/05/2024 11:12:00, 18.67, 81.53, 1008.50, 95, 0.907
06/05/2024 11:22:00, 18.73, 79.94, 1008.48, 95, 0.908
06/05/2024 11:32:00, 18.80, 79.02, 1008.46, 95, 0.905
06/05/2024 11:42:00, 18.90, 76.76, 1008.44, 95, 0.907
06/05/2024 11:52:00, 18.98, 76.31, 1008.42, 95, 0.909
06/05/2024 12:02:00, 19.06, 76.09, 1008.40, 95, 0.908
06/05/2024 12:12:00, 19.13, 75.72, 1008.37, 94, 0.915
06/05/2024 12:22:00, 19.18, 75.38, 1008.32, 95, 0.912
06/05/2024 12:32:00, 19.25, 74.86, 1008.28, 93, 0.921
06/05/2024 12:42:00, 19.35, 74.87, 1008.23, 94, 0.916
06/05/2024 12:52:00, 19.51, 72.86, 1008.17, 98, 0.879
06/05/2024 13:02:00, 19.75, 70.54, 1008.10, 99, 0.877
06/05/2024 13:12:00, 19.99, 69.24, 1008.03, 99, 0.875
06/05/2024 13:22:00, 20.24, 68.27, 1007.95, 100, 0.864
06/05/2024 13:32:00, 20.53, 65.12, 1007.85, 100, 0.865
06/05/2024 13:42:00, 20.78, 64.44, 1007.76, 100, 0.866
06/05/2024 13:52:00, 21.00, 65.97, 1007.66, 100, 0.866
06/05/2024 14:02:00, 21.19, 65.44, 1007.58, 99, 0.877
06/05/2024 14:12:00, 21.37, 65.93, 1007.49, 99, 0.874
06/05/2024 14:22:00, 21.54, 66.15, 1007.39, 99, 0.874
06/05/2024 14:32:00, 21.70, 65.24, 1007.29, 98, 0.878
06/05/2024 14:42:00, 21.86, 65.50, 1007.19, 99, 0.874
