date_time,tempC,HR,pressure,HRsoil,Vsensor
10/06/2024 00:02:00, 14.31, 80.41, 1013.53, 100, 0.868
10/06/2024 00:12:00, 14.28, 80.85, 1013.60, 99, 0.871
10/06/2024 00:22:00, 14.29, 80.52, 1013.61, 99, 0.872
10/06/2024 00:32:00, 14.28, 80.49, 1013.62, 98, 0.878
10/06/2024 00:42:00, 14.30, 79.68, 1013.66, 99, 0.874
10/06/2024 00:52:00, 14.22, 79.02, 1013.78, 99, 0.872
10/06/2024 01:02:00, 14.05, 78.83, 1013.79, 99, 0.874
10/06/2024 01:12:00, 13.82, 78.66, 1014.00, 100, 0.866
10/06/2024 01:22:00, 13.67, 79.21, 1014.03, 100, 0.869
10/06/2024 01:32:00, 13.48, 79.13, 1014.12, 99, 0.876
10/06/2024 01:42:00, 13.34, 79.45, 1013.96, 99, 0.877
10/06/2024 01:52:00, 13.28, 78.98, 1013.97, 99, 0.874
10/06/2024 02:02:00, 13.04, 77.92, 1014.06, 100, 0.865
10/06/2024 02:12:00, 12.79, 78.10, 1014.01, 99, 0.870
10/06/2024 02:22:00, 12.56, 78.80, 1014.28, 100, 0.864
10/06/2024 02:32:00, 12.39, 78.78, 1014.37, 99, 0.873
10/06/2024 02:42:00, 12.34, 78.80, 1014.39, 99, 0.873
10/06/2024 02:52:00, 12.26, 78.29, 1014.38, 100, 0.868
10/06/2024 03:02:00, 12.10, 78.13, 1014.40, 100, 0.867
10/06/2024 03:12:00, 12.05, 77.63, 1014.32, 100, 0.861
10/06/2024 03:22:00, 11.93, 77.24, 1014.25, 101, 0.859
10/06/2024 03:32:00, 11.82, 77.07, 1014.28, 100, 0.866
10/06/2024 03:42:00, 11.67, 76.65, 1014.36, 100, 0.866
10/06/2024 03:52:00, 11.48, 76.20, 1014.33, 100, 0.865
10/06/2024 04:02:00, 11.22, 76.50, 1014.44, 101, 0.856
10/06/2024 04:12:00, 11.03, 76.56, 1014.43, 101, 0.853
10/06/2024 04:22:00, 10.94, 77.14, 1014.49, 101, 0.858
10/06/2024 04:32:00, 10.94, 77.55, 1014.26, 101, 0.857
10/06/2024 04:42:00, 10.94, 77.08, 1014.30, 100, 0.862
10/06/2024 04:52:00, 10.95, 77.15, 1014.14, 101, 0.855
10/06/2024 05:02:00, 10.87, 76.61, 1014.12, 101, 0.855
10/06/2024 05:12:00, 10.77, 76.92, 1014.12, 101, 0.860
10/06/2024 05:22:00, 10.69, 76.64, 1014.17, 101, 0.858
10/06/2024 05:32:00, 10.59, 76.34, 1014.17, 101, 0.860
10/06/2024 05:42:00, 10.52, 76.83, 1014.49, 102, 0.852
10/06/2024 05:52:00, 10.52, 76.65, 1014.43, 101, 0.853
10/06/2024 06:02:00, 10.43, 76.40, 1014.43, 102, 0.849
10/06/2024 06:12:00, 10.30, 77.48, 1014.33, 102, 0.850
10/06/2024 06:22:00, 10.23, 77.05, 1014.39, 101, 0.856
10/06/2024 06:32:00, 10.22, 77.50, 1014.58, 102, 0.848
10/06/2024 06:42:00, 10.12, 77.22, 1014.44, 102, 0.849
10/06/2024 06:52:00, 10.00, 77.35, 1014.55, 101, 0.853
10/06/2024 07:02:00, 9.93, 77.40, 1014.65, 102, 0.845
10/06/2024 07:12:00, 9.86, 77.52, 1014.63, 102, 0.845
10/06/2024 07:22:00, 9.82, 78.00, 1014.83, 101, 0.853
10/06/2024 07:32:00, 9.78, 77.55, 1014.76, 102, 0.850
10/06/2024 07:42:00, 9.70, 77.41, 1014.89, 103, 0.842
10/06/2024 07:52:00, 9.62, 77.36, 1014.85, 102, 0.852
10/06/2024 08:02:00, 9.56, 77.64, 1014.94, 102, 0.851
10/06/2024 08:12:00, 9.48, 77.70, 1014.94, 102, 0.848
10/06/2024 08:22:00, 9.45, 77.38, 1014.89, 102, 0.850
10/06/2024 08:32:00, 9.58, 77.32, 1014.78, 103, 0.842
10/06/2024 08:42:00, 9.81, 78.58, 1014.76, 103, 0.842
10/06/2024 08:52:00, 10.20, 77.44, 1014.87, 102, 0.848
10/06/2024 09:02:00, 10.71, 77.51, 1014.85, 101, 0.854
10/06/2024 09:12:00, 11.28, 75.96, 1015.07, 102, 0.848
10/06/2024 09:22:00, 11.73, 75.05, 1015.30, 101, 0.854
10/06/2024 09:32:00, 12.13, 74.87, 1015.28, 102, 0.852
10/06/2024 09:42:00, 12.56, 74.20, 1015.46, 101, 0.857
10/06/2024 09:52:00, 13.01, 72.97, 1015.49, 101, 0.853
10/06/2024 10:02:00, 13.36, 73.21, 1015.53, 101, 0.855
10/06/2024 10:12:00, 14.08, 72.33, 1015.94, 100, 0.863
10/06/2024 10:22:00, 14.48, 72.12, 1015.96, 100, 0.864
10/06/2024 10:32:00, 14.75, 69.83, 1016.04, 102, 0.849
10/06/2024 10:42:00, 14.45, 71.12, 1016.28, 102, 0.846
10/06/2024 10:52:00, 14.25, 71.80, 1016.34, 101, 0.853
10/06/2024 11:02:00, 14.69, 71.21, 1016.53, 103, 0.842
10/06/2024 11:12:00, 15.17, 69.52, 1016.63, 102, 0.844
10/06/2024 11:22:00, 15.62, 67.92, 1016.61, 102, 0.847
10/06/2024 11:32:00, 16.28, 66.24, 1016.58, 101, 0.858
10/06/2024 11:42:00, 16.92, 65.18, 1016.44, 100, 0.862
10/06/2024 11:52:00, 17.82, 63.94, 1016.74, 101, 0.853
10/06/2024 12:02:00, 18.62, 61.88, 1016.68, 99, 0.870
10/06/2024 12:12:00, 19.36, 58.24, 1016.80, 100, 0.863
10/06/2024 12:22:00, 19.80, 58.23, 1016.65, 101, 0.860
10/06/2024 12:32:00, 19.83, 56.36, 1016.63, 99, 0.870
10/06/2024 12:42:00, 19.90, 56.32, 1016.62, 100, 0.867
10/06/2024 12:52:00, 19.99, 54.94, 1016.59, 98, 0.879
10/06/2024 13:02:00, 20.11, 54.23, 1016.54, 98, 0.878
10/06/2024 13:12:00, 20.22, 53.67, 1016.47, 99, 0.870
10/06/2024 13:22:00, 20.32, 54.16, 1016.39, 98, 0.882
10/06/2024 13:32:00, 20.45, 50.50, 1016.30, 98, 0.878
10/06/2024 13:42:00, 20.59, 52.01, 1016.22, 100, 0.861
10/06/2024 13:52:00, 20.76, 47.07, 1016.15, 98, 0.880
10/06/2024 14:02:00, 20.94, 47.82, 1016.08, 98, 0.879
10/06/2024 14:12:00, 21.11, 50.23, 1016.00, 99, 0.871
10/06/2024 14:22:00, 21.32, 46.85, 1015.91, 99, 0.874
10/06/2024 14:32:00, 21.55, 44.43, 1015.82, 98, 0.883
10/06/2024 14:42:00, 21.69, 46.69, 1015.73, 98, 0.880
10/06/2024 14:52:00, 21.75, 50.10, 1015.64, 99, 0.875
10/06/2024 15:02:00, 21.87, 48.85, 1015.54, 99, 0.874
10/06/2024 15:12:00, 21.99, 48.93, 1015.45, 98, 0.879
10/06/2024 15:22:00, 22.10, 47.88, 1015.38, 99, 0.872
10/06/2024 15:32:00, 22.14, 48.50, 1015.30, 99, 0.873
10/06/2024 15:42:00, 22.16, 49.45, 1015.22, 98, 0.883
10/06/2024 15:52:00, 22.24, 48.03, 1015.15, 98, 0.878
10/06/2024 16:02:00, 22.34, 47.30, 1015.09, 98, 0.886
10/06/2024 16:12:00, 22.44, 46.94, 1015.01, 98, 0.879
10/06/2024 16:22:00, 22.49, 47.67, 1014.94, 98, 0.879
10/06/2024 16:32:00, 22.51, 49.33, 1014.87, 98, 0.882
