date_time,tempC,HR,pressure,HRsoil,Vsensor
09/05/2024 00:02:00, 7.55, 70.55, 1024.95, 99, 0.873
09/05/2024 00:12:00, 7.71, 70.73, 1025.01, 100, 0.869
09/05/2024 00:22:00, 7.66, 70.55, 1025.01, 99, 0.872
09/05/2024 00:32:00, 7.63, 69.84, 1025.09, 99, 0.870
09/05/2024 00:42:00, 7.56, 70.37, 1025.10, 99, 0.872
09/05/2024 00:52:00, 7.43, 71.58, 1025.20, 99, 0.870
09/05/2024 01:02:00, 7.38, 72.32, 1025.17, 100, 0.867
09/05/2024 01:12:00, 7.37, 71.25, 1025.25, 100, 0.867
09/05/2024 01:22:00, 7.18, 70.26, 1025.24, 100, 0.868
09/05/2024 01:32:00, 7.07, 70.37, 1025.28, 99, 0.870
09/05/2024 01:42:00, 6.94, 70.52, 1025.05, 99, 0.870
09/05/2024 01:52:00, 6.82, 70.75, 1025.09, 99, 0.874
09/05/2024 02:02:00, 6.66, 71.42, 1025.04, 99, 0.870
09/05/2024 02:12:00, 6.58, 71.58, 1024.92, 100, 0.869
09/05/2024 02:22:00, 6.38, 73.19, 1024.55, 100, 0.869
09/05/2024 02:32:00, 6.49, 73.32, 1024.25, 99, 0.872
09/05/2024 02:42:00, 6.50, 75.17, 1024.02, 100, 0.865
09/05/2024 02:52:00, 6.52, 74.71, 1023.77, 100, 0.868
09/05/2024 03:02:00, 6.53, 75.34, 1023.63, 100, 0.866
09/05/2024 03:12:00, 6.53, 75.03, 1023.59, 99, 0.872
09/05/2024 03:22:00, 6.39, 72.66, 1023.46, 99, 0.871
09/05/2024 03:32:00, 6.15, 71.78, 1023.54, 100, 0.867
09/05/2024 03:42:00, 5.90, 71.45, 1023.26, 100, 0.867
09/05/2024 03:52:00, 5.93, 75.21, 1022.78, 99, 0.870
09/05/2024 04:02:00, 5.89, 73.30, 1022.72, 99, 0.871
09/05/2024 04:12:00, 5.82, 73.73, 1022.32, 99, 0.872
09/05/2024 04:22:00, 5.76, 74.94, 1022.38, 99, 0.870
09/05/2024 04:32:00, 5.76, 73.79, 1022.43, 100, 0.866
09/05/2024 04:42:00, 5.62, 75.05, 1022.34, 100, 0.866
09/05/2024 04:52:00, 5.43, 73.08, 1022.39, 99, 0.870
09/05/2024 05:02:00, 5.33, 73.88, 1022.40, 99, 0.870
09/05/2024 05:12:00, 5.24, 73.36, 1022.19, 99, 0.871
09/05/2024 05:22:00, 5.06, 75.20, 1022.40, 99, 0.872
09/05/2024 05:32:00, 5.32, 74.88, 1022.48, 100, 0.867
09/05/2024 05:42:00, 5.69, 77.68, 1022.63, 100, 0.866
09/05/2024 05:52:00, 5.90, 75.61, 1022.61, 99, 0.873
09/05/2024 06:02:00, 5.85, 74.91, 1022.53, 99, 0.871
09/05/2024 06:12:00, 5.79, 74.90, 1022.51, 99, 0.872
09/05/2024 06:22:00, 5.70, 75.06, 1022.34, 99, 0.874
09/05/2024 06:32:00, 5.74, 75.50, 1022.55, 99, 0.873
09/05/2024 06:42:00, 5.83, 75.93, 1022.79, 99, 0.872
09/05/2024 06:52:00, 5.81, 75.29, 1022.60, 100, 0.867
09/05/2024 07:02:00, 5.76, 76.47, 1022.85, 99, 0.871
09/05/2024 07:12:00, 5.92, 76.73, 1022.93, 100, 0.869
09/05/2024 07:22:00, 5.92, 75.88, 1023.04, 99, 0.873
09/05/2024 07:32:00, 6.08, 76.24, 1023.00, 99, 0.870
09/05/2024 07:42:00, 6.41, 77.59, 1023.20, 99, 0.873
09/05/2024 07:52:00, 6.80, 75.30, 1023.07, 98, 0.878
09/05/2024 08:02:00, 7.10, 75.79, 1022.96, 99, 0.873
09/05/2024 08:12:00, 7.21, 75.13, 1023.16, 98, 0.878
09/05/2024 08:22:00, 7.27, 74.74, 1023.11, 99, 0.871
09/05/2024 08:32:00, 7.57, 76.37, 1023.12, 99, 0.874
09/05/2024 08:42:00, 8.06, 77.62, 1023.18, 98, 0.878
09/05/2024 08:52:00, 8.65, 76.09, 1023.17, 98, 0.878
09/05/2024 09:02:00, 9.00, 73.17, 1023.24, 98, 0.879
09/05/2024 09:12:00, 9.37, 71.77, 1023.33, 98, 0.884
09/05/2024 09:22:00, 10.01, 72.99, 1023.45, 98, 0.886
09/05/2024 09:32:00, 10.63, 69.47, 1023.30, 98, 0.886
09/05/2024 09:42:00, 10.99, 67.89, 1023.47, 97, 0.887
09/05/2024 09:52:00, 11.51, 65.81, 1023.44, 97, 0.890
09/05/2024 10:02:00, 12.00, 66.08, 1023.60, 97, 0.895
09/05/2024 10:12:00, 12.86, 66.24, 1023.54, 97, 0.891
09/05/2024 10:22:00, 14.04, 66.26, 1023.78, 97, 0.893
09/05/2024 10:32:00, 15.03, 63.23, 1023.56, 96, 0.900
09/05/2024 10:42:00, 16.25, 62.13, 1023.48, 95, 0.907
09/05/2024 10:52:00, 17.58, 57.91, 1023.47, 94, 0.913
09/05/2024 11:02:00, 18.77, 57.30, 1023.33, 95, 0.908
09/05/2024 11:12:00, 19.90, 55.83, 1023.35, 94, 0.915
09/05/2024 11:22:00, 19.95, 52.61, 1023.34, 93, 0.923
09/05/2024 11:32:00, 20.03, 47.77, 1023.31, 94, 0.919
09/05/2024 11:42:00, 20.13, 51.73, 1023.27, 93, 0.924
09/05/2024 11:52:00, 20.27, 44.25, 1023.23, 92, 0.932
09/05/2024 12:02:00, 20.45, 44.75, 1023.18, 93, 0.928
09/05/2024 12:12:00, 20.66, 41.70, 1023.12, 92, 0.932
09/05/2024 12:22:00, 20.92, 41.66, 1023.04, 91, 0.943
09/05/2024 12:32:00, 21.19, 38.82, 1022.96, 92, 0.938
09/05/2024 12:42:00, 21.47, 40.72, 1022.87, 90, 0.948
09/05/2024 12:52:00, 21.75, 39.72, 1022.78, 100, 0.861
09/05/2024 13:02:00, 21.95, 39.76, 1022.68, 101, 0.853
09/05/2024 13:12:00, 22.11, 39.44, 1022.58, 100, 0.862
09/05/2024 13:22:00, 22.27, 38.75, 1022.48, 102, 0.849
09/05/2024 13:32:00, 22.43, 41.27, 1022.37, 101, 0.856
09/05/2024 13:42:00, 22.60, 39.72, 1022.25, 101, 0.859
09/05/2024 13:52:00, 22.78, 40.01, 1022.12, 102, 0.852
09/05/2024 14:02:00, 22.97, 38.53, 1021.99, 101, 0.855
09/05/2024 14:12:00, 23.17, 37.98, 1021.85, 101, 0.855
09/05/2024 14:22:00, 23.37, 37.88, 1021.71, 101, 0.860
09/05/2024 14:32:00, 23.57, 39.98, 1021.57, 100, 0.861
09/05/2024 14:42:00, 23.80, 37.74, 1021.42, 100, 0.865
09/05/2024 14:52:00, 24.02, 37.67, 1021.25, 101, 0.859
09/05/2024 15:02:00, 24.24, 37.18, 1021.09, 100, 0.869
09/05/2024 15:12:00, 24.45, 37.08, 1020.92, 100, 0.863
09/05/2024 15:22:00, 24.66, 36.72, 1020.74, 99, 0.874
09/05/2024 15:32:00, 24.82, 37.09, 1020.56, 99, 0.873
09/05/2024 15:42:00, 24.93, 41.11, 1020.41, 100, 0.867
09/05/2024 15:52:00, 25.08, 37.32, 1020.25, 99, 0.870
09/05/2024 16:02:00, 25.16, 39.88, 1020.10, 99, 0.870
09/05/2024 16:12:00, 25.23, 40.77, 1019.96, 98, 0.879
09/05/2024 16:22:00, 25.26, 39.39, 1019.81, 101, 0.854
09/05/2024 16:32:00, 25.22, 41.22, 1019.66, 101, 0.854
09/05/2024 16:42:00, 25.09, 45.40, 1019.51, 101, 0.853
09/05/2024 16:52:00, 24.88, 44.24, 1019.38, 103, 0.843
09/05/2024 17:02:00, 24.62, 45.22, 1019.25, 102, 0.849
09/05/2024 17:12:00, 24.33, 47.55, 1019.13, 102, 0.848
09/05/2024 17:22:00, 24.01, 48.77, 1019.01, 102, 0.845
09/05/2024 17:32:00, 18.53, 50.21, 1017.18, 103, 0.838
09/05/2024 17:42:00, 17.87, 51.49, 1017.27, 102, 0.849
09/05/2024 17:52:00, 17.33, 52.48, 1017.14, 103, 0.837
09/05/2024 18:02:00, 16.75, 53.75, 1017.14, 103, 0.837
09/05/2024 18:12:00, 16.11, 56.83, 1017.07, 103, 0.841
09/05/2024 18:22:00, 15.60, 55.35, 1017.11, 103, 0.836
09/05/2024 18:32:00, 14.98, 56.26, 1016.77, 104, 0.833
09/05/2024 18:42:00, 14.52, 57.79, 1016.73, 103, 0.839
09/05/2024 18:52:00, 14.14, 59.55, 1016.86, 103, 0.837
09/05/2024 19:02:00, 13.80, 61.04, 1016.88, 103, 0.838
09/05/2024 19:12:00, 13.52, 62.29, 1016.94, 103, 0.840
09/05/2024 19:22:00, 13.30, 63.67, 1016.91, 103, 0.838
09/05/2024 19:32:00, 13.02, 63.67, 1016.83, 103, 0.839
09/05/2024 19:42:00, 12.80, 63.70, 1016.99, 103, 0.837
09/05/2024 19:52:00, 12.35, 66.09, 1016.99, 104, 0.832
09/05/2024 20:02:00, 12.14, 68.30, 1017.04, 104, 0.832
09/05/2024 20:12:00, 12.01, 67.73, 1017.05, 103, 0.837
09/05/2024 20:22:00, 11.97, 67.45, 1016.94, 103, 0.837
09/05/2024 20:32:00, 11.86, 67.58, 1017.15, 104, 0.832
09/05/2024 20:42:00, 11.80, 68.49, 1017.10, 103, 0.837
09/05/2024 20:52:00, 11.92, 67.92, 1017.21, 103, 0.836
09/05/2024 21:02:00, 12.13, 67.54, 1017.38, 104, 0.833
09/05/2024 21:12:00, 12.12, 67.86, 1017.61, 103, 0.839
09/05/2024 21:22:00, 12.15, 68.90, 1017.63, 103, 0.837
09/05/2024 21:32:00, 11.68, 68.62, 1017.70, 104, 0.830
09/05/2024 21:42:00, 11.16, 70.50, 1017.85, 103, 0.836
09/05/2024 21:52:00, 11.15, 71.96, 1017.86, 104, 0.832
09/05/2024 22:02:00, 11.25, 71.80, 1018.02, 104, 0.829
09/05/2024 22:12:00, 11.19, 72.59, 1018.07, 104, 0.829
09/05/2024 22:22:00, 11.13, 72.89, 1018.07, 104, 0.831
09/05/2024 22:32:00, 10.75, 71.09, 1018.24, 104, 0.828
